expected semantic name,input,correct/incorrect,not_correct_segment,correct_segment_v2,correct_segment_v3,no_idx_in_semantic
สมัครงาน,มีตำแหน่งอะไรว่างบ้าง,yes,มี ตำแหน่ง อะไร ว่าง บ้าง,มี ตำแหน่ง อะไร ว่าง บ้าง,มี ตำแหน่ง อะไร ว่าง บ้าง,1
ปัญหาไม่สามารถใช้วงเงินที่มีอยู่ได้,บัญชีผมมีเงินอยู่ แต่ทำไมใช้เงินในบัญชีไม่ได้,no,บัญชี ผม มี เงินอยู่ แต่ ทำไม ใช้ เงิน ใน บัญชี ไม่ได้,บัญชี ผม มี เงินอยู่ แต่ ทำไม ใช้ เงิน ใน บัญชี ไม่ได้,บัญชี ผม มี เงินอยู่ แต่ ทำไม ใช้ เงิน ใน บัญชี ไม่ได้,1
ปัญหาไม่สามารถใช้วงเงินที่มีอยู่ในบัญชีได้,มียอดคงเหลือในบัญชี แต่ไม่สามารถถอนได้มันคืออะไร,no,มี ยอด คงเหลือ ใน บัญชี แต่ ไม่สามารถ ถอน ได้ มันคืออะไร,มี ยอด คงเหลือ ใน บัญชี แต่ ไม่สามารถ ถอน ได้ มันคืออะไร,มี ยอด คงเหลือ ใน บัญชี แต่ ไม่สามารถ ถอน ได้ มันคืออะไร,1
ปัญหาการกดเงินสด,มียอดเงินใน บช แต่ทำไมกดเงิน atm ไม่ได้,no,มี ยอดเงิน ใน บ ช แต่ ทำไม กด เงิน atm ไม่ได้,มี ยอดเงิน ใน บัญชี แต่ ทำไม กดเงิน atm ไม่ได้,มี ยอดเงิน ใน บัญชี แต่ ทำไม กดเงิน atm ไม่ได้,1
สิทธิขั้นพื้นฐานผู้บริโภค,สิทธิของลูกค้าอย่างผมมีอะไรบ้าง,yes,สิทธิ ของ ลูกค้า อย่าง ผม มี อะไร บ้าง,สิทธิ ของ ลูกค้า อย่าง ผม มีอะไรบ้าง,สิทธิ ของ ลูกค้า อย่าง ผม มีอะไรบ้าง,1
ร้องเรียนบริการ,ผมเสียหายจากการแนะนำการขายของพนักงาน ร้องเรียนได้ยังไงบ้าง,yes,ผม เสียหาย จาก การ แนะนำ การ ขายของ พนักงาน ร้องเรียน ได้ ยังไง บ้าง,ผม เสียหาย จาก การ แนะนำ การ ขายของ พนักงาน ร้องเรียน ได้ ยังไง บ้าง,ผม เสียหาย จาก การ แนะนำ การ ขายของ พนักงาน ร้องเรียน ได้ ยังไง บ้าง,1
สอบถามการผ่อนชำระ,ช่วยคิดเงินผ่อนสินเชื่อให้หน่อย,no,ช่วย คิด เงินผ่อน สินเชื่อ ให้ หน่อย,ช่วย คิด เงินผ่อน สินเชื่อ ให้หน่อย,ช่วย คิด เงินผ่อน สินเชื่อ ให้หน่อย,1
สอบถามยอดผ่อนชำระต่อเดือน,ผ่อนสินเชื่อคอนโด 3000000 48 เดือน เดือนละเท่าไหร่ ดอกเบี้ยกี่บาท,no,ผ่อน สินเชื่อ คอนโด ####### ## เดือน เดือนละ เท่าไหร่ ดอกเบี้ย กี่ บาท,ผ่อน สินเชื่อ คอนโด ####### ## เดือน เดือนละ เท่าไหร่ ดอกเบี้ย กี่ บาท,ผ่อน สินเชื่อ คอนโด ####### ## เดือน เดือนละ เท่าไหร่ ดอกเบี้ย กี่ บาท,1
คำนวณสินเชื่อ,how to calculate interest on loan ?,yes,how to calculate interest on loan ?,how to calculate interest on loan ?,how to calculate interest on loan ?,1
แจ้งปัญหาการ login,login เข้าเวปไม่ได้,no,login เข้า เวป ไม่ได้,login เข้า เว็บ ไม่ได้,login เข้า เว็บ ไม่ได้,1
สอบถามค่าธรรมเนียมการออกบัตรใหม่,ค่าธรรมเนียมของบัตรหมดอายุที่จะทำใหม่เท่าไหร่,no,ค่าธรรมเนียม ของ บัตร หมดอายุ ที่ จะทำ ใหม่ เท่าไหร่,ค่าธรรมเนียม ของ บัตร หมดอายุ ที่ จะทำ ใหม่ เท่าไหร่,ค่าธรรมเนียม ของ บัตร หมดอายุ ที่ จะทำ ใหม่ เท่าไหร่,1
บัตรหมดอายุ,บัตรหมดอายุ ทำบัตรใหม่ต้องใช้ข้อมูลอะไรบ้างครับ,no,บัตร หมดอายุ ทำ บัตร ใหม่ ต้อง ใช้ ข้อมูล อะไร บ้าง ครับ,บัตร หมดอายุ ทำบัตร ใหม่ ต้อง ใช้ ข้อมูล อะไรบ้าง ครับ,บัตร หมดอายุ ทำบัตร ใหม่ ต้อง ใช้ ข้อมูล อะไรบ้าง ครับ,1
สอบถามการทำบัตร,บัตรชำรุด ต้องใช้อะไรบ้างเพื่อทำบัตรใหม่,no,บัตร ชำรุด ต้อง ใช้ อะไร บ้าง เพื่อ ทำ บัตร ใหม่,บัตร ชำรุด ต้องใช้อะไรบ้าง เพื่อ ทำบัตร ใหม่,บัตร ชำรุด ต้องใช้อะไรบ้าง เพื่อ ทำบัตร ใหม่,1
เปลี่ยนแปลงที่อยู่,ต้องการเปลี่ยนแปลงข้อมูลที่อยู่ ต้องทำยังไงบ้าง,yes,ต้องการ เปลี่ยนแปลง ข้อมูล ที่อยู่ ต้อง ทำ ยังไง บ้าง,ต้องการ เปลี่ยนแปลง ข้อมูล ที่อยู่ ต้อง ทำ ยังไง บ้าง,ต้องการ เปลี่ยนแปลง ข้อมูล ที่อยู่ ต้อง ทำ ยังไง บ้าง,1
เปลี่ยนแปลงที่อยู่จัดส่งเอกสาร,ใช้เอกสารอะไรบ้างในการเปลี่ยนแปลงที่อยู่รับเอกสาร,yes,ใช้ เอกสาร อะไร บ้าง ใน การ เปลี่ยนแปลง ที่อยู่ รับ เอกสาร,ใช้ เอกสาร อะไรบ้าง ใน การ เปลี่ยนแปลง ที่อยู่ รับ เอกสาร,ใช้ เอกสาร อะไรบ้าง ใน การ เปลี่ยนแปลง ที่อยู่ รับ เอกสาร,1
เปลี่ยนแปลงข้อมูล,แต่งงานแล้ว อยากแก้ไขข้อมูลประวัติครับ,yes,แต่งงาน แล้ว อยากแก้ไข ข้อมูล ประวัติ ครับ,แต่งงาน แล้ว อยากแก้ไข ข้อมูล ประวัติ ครับ,แต่งงาน แล้ว อยากแก้ไข ข้อมูล ประวัติ ครับ,1
เปลี่ยนแปลงชื่อสกุล,เปลี่ยนชื่อมา อยากแก้ไขข้อมูลส่วนตัวกับทางธนาคาร ต้องแจ้งเปลี่ยนยังไงบ้าง,yes,เปลี่ยน ชื่อ มา อยากแก้ไข ข้อมูลส่วนตัว กับ ทาง ธนาคาร ต้อง แจ้ง เปลี่ยน ยังไง บ้าง,เปลี่ยน ชื่อ มา อยากแก้ไข ข้อมูลส่วนตัว กับ ทาง ธนาคาร ต้อง แจ้ง เปลี่ยน ยังไง บ้าง,เปลี่ยน ชื่อ มา อยากแก้ไข ข้อมูลส่วนตัว กับ ทาง ธนาคาร ต้อง แจ้ง เปลี่ยน ยังไง บ้าง,1
เปลี่ยนแปลงหมายเลขโทรศัพท์,เปลี่ยนเบอร์โทรศัพท์ที่ผูกกับบัตร atm ยังไง,yes,เปลี่ยน เบอร์โทรศัพท์ ที่ ผูก กับ บัตร atm ยังไง,เปลี่ยน เบอร์โทรศัพท์ ที่ ผูก กับ บัตร atm ยังไง,เปลี่ยน เบอร์โทรศัพท์ ที่ ผูก กับ บัตร atm ยังไง,1
เปลี่ยนแปลงหมายเลขโทรศัพท์รับ otp,เปลี่ยนเบอร์รับรหัส otp มีวิธีมั้ยครับ,yes,เปลี่ยน เบอร์ รับ รหัส otp มี วิธี ม ั ้ ย ครับ,เปลี่ยน เบอร์ รับ รหัส otp มี วิธี ไหม ครับ,เปลี่ยน เบอร์ รับ รหัส otp มี วิธี ไหม ครับ,1
ไม่ได้รับ otp,รอรับ โอทีพี มานานแล้วแต่ยังไม่ได้ สงสัยใช้เบอร์เก่า ต้องแก้ไขยังไง,no,รอ รับ โอทีพี มานาน แล้วแต่ ยัง ไม่ได้ สงสัย ใช้ เบอร์ เก่า ต้อง แก้ไข ยังไง,รอ รับ otp มานาน แล้วแต่ ยัง ไม่ได้ สงสัย ใช้ เบอร์ เก่า ต้อง แก้ไข ยังไง,รอ รับ otp มานาน แล้วแต่ ยัง ไม่ได้ สงสัย ใช้ เบอร์ เก่า ต้อง แก้ไข ยังไง,1
สอบถาม cheque clearing,เอาเชคเงินสดเข้าบัญชีไปแล้ว ไม่ทราบว่าเงินจะเข้าวันไหน,yes,เอา เชค เงินสด เข้าบัญชี ไปแล้ว ไม่ ทราบว่า เงิน จะ เข้า วัน ไหน,เอา เช็ค เงินสด เข้าบัญชี ไปแล้ว ไม่ ทราบว่า เงิน จะ เข้า วัน ไหน,เอา เช็ค เงินสด เข้าบัญชี ไปแล้ว ไม่ ทราบว่า เงิน จะ เข้า วัน ไหน,1
สั่งซื้อสมุด cheque,ผมซื้อแคชเชียเชค สั่งจ่ายค่าธรรมเนียมไปแล้ว ผมจะรู้ได้ยังไงว่าชำระแล้วอะ,no,ผม ซื้อ แคช เชีย เชค สั่ง จ่าย ค่าธรรมเนียม ไปแล้ว ผม จะ รู้ ได้ ยังไง ว่า ชำระ แล้ว อะ,ผม ซื้อ แคช เชีย เช็ค สั่ง จ่าย ค่าธรรมเนียม ไปแล้ว ผม จะ รู้ ได้ ยังไง ว่า ชำระ แล้ว อะ,ผม ซื้อ แคช เชีย เช็ค สั่ง จ่าย ค่าธรรมเนียม ไปแล้ว ผม จะ รู้ ได้ ยังไง ว่า ชำระ แล้ว อะ,1
สอบถาม cheque,สอบถามการตรวจสอบสถานะเช็ค,no,สอบถาม การ ตรวจสอบ สถานะ เช็ค,สอบถาม การ ตรวจสอบ สถานะ เช็ค,สอบถาม การ ตรวจสอบ สถานะ เช็ค,1
ตรวจสอบสถานะเช็ค,how can i check cheque status ?,yes,how can i check cheque status ?,how can i check cheque status ?,how can i check cheque status ?,1
ตรวจสอบสถานะการสมัคร,ขอวิธีการตรวจสอบสถานะสมัครสินเชื่อ,no,ขอ วิธีการ ตรวจสอบ สถานะ สมัคร สินเชื่อ,ขอ วิธีการ ตรวจสอบ สถานะ สมัคร สินเชื่อ,ขอ วิธีการ ตรวจสอบ สถานะ สมัคร สินเชื่อ,1
สอบถามผลการอนุมัติสินเชื่อ,สมัครสินเชื่อผ่านมั้ย,no,สมัคร สินเชื่อ ผ่าน ม ั ้ ย,สมัคร สินเชื่อ ผ่าน ไหม,สมัคร สินเชื่อ ผ่าน ไหม,1
